gw,pos,web_name,team,points_raw,role,in_xi,captain
4,GKP,Raya,Arsenal,14,Starter,TRUE,FALSE
4,DEF,Gvardiol,Man City,11,Starter,TRUE,FALSE
4,DEF,Gabriel,Arsenal,9,Starter,TRUE,FALSE
4,DEF,Thomas,Coventry,0,Starter,TRUE,FALSE
4,DEF,Calafiori,Arsenal,6,Starter,TRUE,FALSE
4,DEF,Davis,Ipswich Town,14,Auto-subbed IN,TRUE,FALSE
4,MID,Tavernier,Bournemouth,8,Starter,TRUE,FALSE
4,MID,B.Fernandes,Man Utd,2,Captain,TRUE,TRUE
4,MID,Rogers,Chelsea,8,Starter,TRUE,FALSE
4,MID,Ndiaye,Man City,1,Starter,TRUE,FALSE
4,FWD,Haaland,Man City,9,Starter(VC),TRUE,FALSE
4,MID,Elanga,Newcastle,0,Auto-subbed OUT (0 min),FALSE,FALSE
4,GKP,Dovin,Coventry,0,Bench (on loan/unavail),FALSE,FALSE
4,FWD,Kusi-Asare,Fulham,0,Bench,FALSE,FALSE
4,FWD,Furo,Brentford,0,Bench,FALSE,FALSE
